target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,513.0,-1.1284687519073486,1.0,1.0,1.0,1.0,1.0,48.0
1.0,514.0,1.9035228490829468,2.0,1.0,2.0,2.0,2.0,49.0
2.0,515.0,1.9910606145858765,2.0,1.0,2.0,2.0,3.0,0.0
3.0,516.0,1.7893187999725342,2.0,1.0,2.0,2.0,1.0,5.0
4.0,517.0,0.59227055311203,2.0,1.0,2.0,3.0,2.0,21.0
5.0,518.0,0.7563167214393616,2.0,1.0,2.0,3.0,3.0,23.0
6.0,519.0,1.0436418056488037,2.0,1.0,2.0,3.0,1.0,2.0
7.0,520.0,0.6034396886825562,2.0,1.0,2.0,4.0,1.0,1.0
8.0,521.0,-0.8701833486557007,1.0,1.0,2.0,5.0,4.0,3.0
9.0,522.0,0.7311862111091614,1.0,1.0,2.0,5.0,5.0,16.0
10.0,523.0,0.6743634343147278,1.0,1.0,2.0,5.0,2.0,6.0
11.0,524.0,0.6837175488471985,1.0,1.0,2.0,5.0,3.0,11.0
12.0,525.0,0.5601593852043152,1.0,1.0,2.0,5.0,1.0,14.0
13.0,526.0,0.21601153910160065,1.0,1.0,2.0,6.0,4.0,4.0
14.0,527.0,-0.8548258543014526,1.0,1.0,2.0,1.0,4.0,36.0
15.0,528.0,-0.9015964269638062,1.0,1.0,2.0,1.0,5.0,33.0
16.0,529.0,-0.6529443860054016,1.0,1.0,2.0,1.0,2.0,29.0
17.0,530.0,0.17273128032684326,1.0,1.0,2.0,6.0,5.0,7.0
18.0,531.0,0.01845810003578663,1.0,1.0,2.0,6.0,2.0,8.0
19.0,532.0,-0.9022945165634155,1.0,1.0,2.0,7.0,4.0,13.0
20.0,533.0,-0.8317895531654358,1.0,1.0,2.0,7.0,5.0,46.0
21.0,534.0,-0.5627539157867432,1.0,1.0,2.0,1.0,3.0,39.0
22.0,535.0,-0.9050868153572083,1.0,1.0,2.0,6.0,3.0,32.0
23.0,536.0,-0.5839751958847046,1.0,1.0,2.0,1.0,1.0,30.0
24.0,537.0,-1.3464058637619019,1.0,1.0,2.0,6.0,1.0,15.0
25.0,538.0,-0.13302281498908997,1.0,1.0,2.0,7.0,2.0,12.0
26.0,539.0,-0.5721080303192139,1.0,1.0,2.0,7.0,3.0,35.0
27.0,540.0,-0.5993326902389526,1.0,1.0,2.0,7.0,1.0,34.0
28.0,541.0,1.8800677061080933,1.0,1.0,2.0,8.0,5.0,47.0
29.0,542.0,-0.7247058153152466,1.0,1.0,2.0,9.0,4.0,9.0
30.0,543.0,-0.929658830165863,1.0,1.0,2.0,8.0,2.0,24.0
31.0,544.0,-0.28506216406822205,1.0,1.0,2.0,10.0,5.0,31.0
32.0,545.0,-0.918210506439209,1.0,1.0,2.0,8.0,3.0,28.0
33.0,546.0,1.2603223323822021,1.0,1.0,2.0,9.0,5.0,25.0
34.0,547.0,1.8785319328308105,1.0,1.0,2.0,8.0,1.0,17.0
35.0,548.0,-0.3846067786216736,1.0,1.0,2.0,10.0,2.0,10.0
36.0,549.0,-0.278081476688385,1.0,1.0,2.0,10.0,3.0,22.0
37.0,550.0,1.2025222778320312,1.0,1.0,2.0,9.0,2.0,18.0
38.0,551.0,1.536757469177246,1.0,1.0,2.0,9.0,3.0,44.0
39.0,552.0,1.4626226425170898,1.0,1.0,2.0,9.0,1.0,41.0
40.0,553.0,-1.0070048570632935,1.0,1.0,2.0,11.0,4.0,19.0
41.0,554.0,-0.28506216406822205,1.0,1.0,2.0,11.0,5.0,20.0
42.0,555.0,-0.3897724747657776,1.0,1.0,2.0,11.0,2.0,42.0
43.0,556.0,-0.7268000245094299,1.0,1.0,2.0,11.0,3.0,45.0
44.0,557.0,-1.4215179681777954,1.0,1.0,2.0,11.0,1.0,37.0
45.0,558.0,-0.9941603541374207,1.0,1.0,2.0,10.0,1.0,26.0
46.0,689.0,-0.9134635925292969,1.0,1.0,3.0,1.0,3.0,27.0
47.0,690.0,-0.8541277647018433,1.0,1.0,3.0,1.0,1.0,43.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
