target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,296.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,297.0,0.0,1.0,1.0,1.0,2.0,1.0,9.0
2.0,298.0,0.0,1.0,1.0,1.0,3.0,1.0,20.0
3.0,299.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0
4.0,300.0,0.0,1.0,1.0,1.0,5.0,1.0,43.0
5.0,301.0,0.0,1.0,1.0,1.0,6.0,1.0,2.0
6.0,302.0,0.0,1.0,1.0,1.0,7.0,1.0,10.0
7.0,303.0,0.0,1.0,1.0,1.0,8.0,1.0,21.0
8.0,304.0,0.0,1.0,1.0,1.0,9.0,2.0,22.0
9.0,305.0,0.0,1.0,1.0,1.0,1.0,2.0,11.0
10.0,306.0,0.0,1.0,1.0,1.0,2.0,2.0,35.0
11.0,307.0,0.0,1.0,1.0,1.0,3.0,2.0,39.0
12.0,308.0,0.0,1.0,1.0,1.0,4.0,2.0,46.0
13.0,309.0,0.0,1.0,1.0,1.0,5.0,2.0,3.0
14.0,310.0,0.0,1.0,1.0,1.0,6.0,2.0,27.0
15.0,311.0,0.0,1.0,1.0,1.0,7.0,2.0,23.0
16.0,312.0,0.0,1.0,1.0,1.0,8.0,2.0,19.0
17.0,313.0,0.0,1.0,1.0,1.0,10.0,2.0,12.0
18.0,314.0,0.0,1.0,1.0,1.0,9.0,3.0,31.0
19.0,315.0,0.0,1.0,1.0,1.0,1.0,3.0,13.0
20.0,316.0,0.0,1.0,1.0,1.0,2.0,3.0,18.0
21.0,317.0,0.0,1.0,1.0,1.0,3.0,3.0,45.0
22.0,318.0,0.0,1.0,1.0,1.0,4.0,3.0,24.0
23.0,319.0,0.0,1.0,1.0,1.0,5.0,3.0,34.0
24.0,320.0,0.0,1.0,1.0,1.0,6.0,3.0,41.0
25.0,321.0,0.0,1.0,1.0,1.0,7.0,3.0,4.0
26.0,322.0,0.0,1.0,1.0,1.0,8.0,3.0,48.0
27.0,323.0,0.0,1.0,1.0,1.0,10.0,3.0,33.0
28.0,324.0,0.0,1.0,1.0,1.0,11.0,3.0,44.0
29.0,325.0,0.0,1.0,1.0,1.0,9.0,4.0,42.0
30.0,326.0,0.0,1.0,1.0,1.0,1.0,4.0,16.0
31.0,327.0,0.0,1.0,1.0,1.0,2.0,4.0,30.0
32.0,328.0,0.0,1.0,1.0,1.0,3.0,4.0,32.0
33.0,329.0,0.0,1.0,1.0,1.0,4.0,4.0,26.0
34.0,330.0,0.0,1.0,1.0,1.0,5.0,4.0,49.0
35.0,331.0,0.0,1.0,1.0,1.0,6.0,4.0,8.0
36.0,332.0,0.0,1.0,1.0,1.0,7.0,4.0,17.0
37.0,333.0,0.0,1.0,1.0,1.0,8.0,4.0,5.0
38.0,334.0,0.0,1.0,1.0,1.0,10.0,4.0,25.0
39.0,335.0,0.0,1.0,1.0,1.0,11.0,4.0,36.0
40.0,336.0,0.0,1.0,1.0,1.0,9.0,5.0,37.0
41.0,337.0,0.0,1.0,1.0,1.0,1.0,5.0,29.0
42.0,338.0,0.0,1.0,1.0,1.0,2.0,5.0,15.0
43.0,339.0,0.0,1.0,1.0,1.0,3.0,5.0,40.0
44.0,340.0,0.0,1.0,1.0,1.0,4.0,5.0,6.0
45.0,341.0,0.0,1.0,1.0,1.0,5.0,5.0,47.0
46.0,342.0,0.0,1.0,1.0,1.0,6.0,5.0,14.0
47.0,343.0,0.0,1.0,1.0,1.0,7.0,5.0,38.0
48.0,344.0,0.0,1.0,1.0,1.0,8.0,5.0,7.0
49.0,345.0,0.0,1.0,1.0,1.0,10.0,5.0,28.0
