target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,424.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,425.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0
2.0,426.0,0.0,1.0,1.0,1.0,2.0,2.0,9.0
3.0,427.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0
4.0,428.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0
5.0,429.0,0.0,1.0,1.0,1.0,1.0,4.0,13.0
6.0,430.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0
7.0,431.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0
8.0,432.0,0.0,1.0,1.0,1.0,2.0,5.0,8.0
9.0,433.0,0.0,1.0,1.0,1.0,3.0,1.0,34.0
10.0,434.0,0.0,1.0,1.0,1.0,4.0,1.0,14.0
11.0,435.0,0.0,1.0,1.0,1.0,4.0,4.0,10.0
12.0,436.0,0.0,1.0,1.0,1.0,3.0,2.0,6.0
13.0,437.0,0.0,1.0,1.0,1.0,1.0,5.0,16.0
14.0,438.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0
15.0,439.0,0.0,1.0,1.0,1.0,3.0,4.0,19.0
16.0,440.0,0.0,1.0,1.0,1.0,2.0,5.0,12.0
17.0,441.0,0.0,1.0,1.0,1.0,5.0,3.0,47.0
18.0,442.0,0.0,1.0,1.0,1.0,5.0,4.0,22.0
19.0,443.0,0.0,1.0,1.0,1.0,3.0,5.0,15.0
20.0,444.0,0.0,1.0,1.0,1.0,4.0,5.0,23.0
21.0,445.0,0.0,1.0,1.0,1.0,5.0,5.0,28.0
22.0,446.0,0.0,1.0,1.0,1.0,6.0,1.0,17.0
23.0,447.0,0.0,1.0,1.0,1.0,7.0,1.0,36.0
24.0,448.0,0.0,1.0,1.0,1.0,8.0,1.0,29.0
25.0,449.0,0.0,1.0,1.0,1.0,9.0,1.0,21.0
26.0,450.0,0.0,1.0,1.0,1.0,10.0,1.0,39.0
27.0,451.0,0.0,1.0,1.0,1.0,11.0,2.0,35.0
28.0,452.0,0.0,1.0,1.0,1.0,6.0,2.0,26.0
29.0,453.0,0.0,1.0,1.0,1.0,7.0,2.0,11.0
30.0,454.0,0.0,1.0,1.0,1.0,8.0,2.0,18.0
31.0,455.0,0.0,1.0,1.0,1.0,9.0,2.0,42.0
32.0,456.0,0.0,1.0,1.0,1.0,10.0,2.0,24.0
33.0,457.0,0.0,1.0,1.0,1.0,11.0,3.0,37.0
34.0,458.0,0.0,1.0,1.0,1.0,6.0,3.0,49.0
35.0,459.0,0.0,1.0,1.0,1.0,7.0,3.0,27.0
36.0,460.0,0.0,1.0,1.0,1.0,8.0,3.0,33.0
37.0,461.0,0.0,1.0,1.0,1.0,9.0,3.0,20.0
38.0,462.0,0.0,1.0,1.0,1.0,10.0,3.0,44.0
39.0,463.0,0.0,1.0,1.0,1.0,11.0,4.0,40.0
40.0,464.0,0.0,1.0,1.0,1.0,6.0,4.0,31.0
41.0,465.0,0.0,1.0,1.0,1.0,7.0,4.0,25.0
42.0,466.0,0.0,1.0,1.0,1.0,8.0,4.0,48.0
43.0,467.0,0.0,1.0,1.0,1.0,9.0,4.0,41.0
44.0,468.0,0.0,1.0,1.0,1.0,10.0,4.0,30.0
45.0,469.0,0.0,1.0,1.0,1.0,11.0,5.0,45.0
46.0,470.0,0.0,1.0,1.0,1.0,6.0,5.0,46.0
47.0,471.0,0.0,1.0,1.0,1.0,7.0,5.0,32.0
48.0,472.0,0.0,1.0,1.0,1.0,8.0,5.0,43.0
49.0,473.0,0.0,1.0,1.0,1.0,9.0,5.0,38.0
