target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,516.0,1.1649571657180786,1.0,1.0,1.0,1.0,1.0,0.0
1.0,517.0,1.2271641492843628,1.0,1.0,1.0,1.0,2.0,4.0
2.0,518.0,1.2340760231018066,1.0,1.0,1.0,1.0,3.0,1.0
3.0,519.0,1.1726369857788086,1.0,1.0,1.0,1.0,4.0,8.0
4.0,520.0,1.2302360534667969,1.0,1.0,1.0,1.0,5.0,2.0
5.0,521.0,1.2271641492843628,1.0,1.0,1.0,2.0,2.0,3.0
6.0,522.0,1.289115071296692,1.0,1.0,1.0,2.0,3.0,5.0
7.0,523.0,1.2449557781219482,1.0,1.0,1.0,2.0,4.0,6.0
8.0,524.0,1.226396083831787,1.0,1.0,1.0,2.0,5.0,7.0
9.0,572.0,0.8275548219680786,2.0,1.0,2.0,3.0,5.0,11.0
10.0,575.0,-1.0380140542984009,1.0,1.0,2.0,2.0,1.0,9.0
11.0,577.0,-1.053629755973816,1.0,1.0,2.0,4.0,1.0,10.0
12.0,578.0,-1.1100767850875854,1.0,1.0,2.0,5.0,1.0,15.0
13.0,579.0,-0.9834868907928467,1.0,1.0,2.0,6.0,1.0,43.0
14.0,580.0,-1.0280301570892334,1.0,1.0,2.0,7.0,1.0,16.0
15.0,581.0,-0.9929587841033936,1.0,1.0,2.0,2.0,2.0,24.0
16.0,582.0,-0.9562233686447144,1.0,1.0,2.0,4.0,2.0,22.0
17.0,583.0,-0.8936324119567871,1.0,1.0,2.0,5.0,2.0,34.0
18.0,584.0,-0.9112961292266846,1.0,1.0,2.0,6.0,2.0,21.0
19.0,585.0,-1.1109727621078491,1.0,1.0,2.0,7.0,2.0,41.0
20.0,586.0,-1.1173726320266724,1.0,1.0,2.0,2.0,3.0,18.0
21.0,587.0,-0.7012516260147095,1.0,1.0,2.0,4.0,3.0,23.0
22.0,588.0,-0.5842615962028503,1.0,1.0,2.0,5.0,3.0,27.0
23.0,589.0,-1.1168606281280518,1.0,1.0,2.0,6.0,3.0,20.0
24.0,590.0,-0.8679048418998718,1.0,1.0,2.0,2.0,4.0,49.0
25.0,591.0,-0.5284545421600342,1.0,1.0,2.0,4.0,4.0,31.0
26.0,592.0,-0.6602923274040222,1.0,1.0,2.0,5.0,4.0,35.0
27.0,593.0,-1.097661018371582,1.0,1.0,2.0,6.0,4.0,42.0
28.0,594.0,-0.5765817165374756,1.0,1.0,2.0,7.0,3.0,14.0
29.0,595.0,-0.4529357850551605,1.0,1.0,2.0,4.0,5.0,29.0
30.0,596.0,1.4055931568145752,1.0,1.0,2.0,8.0,1.0,12.0
31.0,597.0,1.3876733779907227,1.0,1.0,2.0,8.0,2.0,28.0
32.0,598.0,1.097630262374878,1.0,1.0,2.0,8.0,3.0,36.0
33.0,599.0,1.1040301322937012,1.0,1.0,2.0,8.0,4.0,33.0
34.0,600.0,1.1155500411987305,1.0,1.0,2.0,8.0,5.0,25.0
35.0,601.0,-0.09006185084581375,1.0,1.0,2.0,9.0,5.0,46.0
36.0,602.0,0.8705620765686035,3.0,1.0,2.0,10.0,2.0,44.0
37.0,603.0,0.8910417556762695,3.0,1.0,2.0,10.0,3.0,32.0
38.0,604.0,0.8641622066497803,3.0,1.0,2.0,10.0,4.0,26.0
39.0,605.0,0.8705620765686035,3.0,1.0,2.0,10.0,5.0,17.0
40.0,606.0,0.8641622066497803,3.0,1.0,2.0,11.0,3.0,47.0
41.0,607.0,0.8641622066497803,3.0,1.0,2.0,11.0,4.0,13.0
42.0,608.0,0.8705620765686035,3.0,1.0,2.0,11.0,5.0,37.0
43.0,609.0,-1.0382699966430664,1.0,1.0,2.0,2.0,5.0,48.0
44.0,610.0,-1.0344300270080566,1.0,1.0,2.0,7.0,4.0,40.0
45.0,611.0,-1.0446698665618896,1.0,1.0,2.0,5.0,5.0,45.0
46.0,612.0,-1.0497897863388062,1.0,1.0,2.0,6.0,5.0,39.0
47.0,613.0,-1.0474858283996582,1.0,1.0,2.0,7.0,5.0,19.0
48.0,628.0,-0.8579210042953491,1.0,1.0,3.0,4.0,5.0,30.0
49.0,629.0,-0.10542159527540207,1.0,1.0,3.0,2.0,5.0,38.0
