target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,109.0,0.46692273020744324,1.0,1.0,1.0,1.0,1.0,0.0
1.0,111.0,0.5979719758033752,1.0,2.0,2.0,2.0,1.0,43.0
2.0,114.0,0.6038224101066589,1.0,2.0,2.0,3.0,1.0,23.0
3.0,118.0,0.6246238350868225,1.0,2.0,2.0,4.0,1.0,20.0
4.0,223.0,0.608372688293457,1.0,3.0,3.0,5.0,1.0,13.0
5.0,224.0,0.6012222170829773,1.0,3.0,3.0,6.0,1.0,31.0
6.0,225.0,0.55116868019104,1.0,3.0,3.0,7.0,1.0,1.0
7.0,226.0,0.583670973777771,1.0,3.0,3.0,8.0,1.0,48.0
8.0,230.0,0.6070725917816162,1.0,3.0,3.0,4.0,1.0,17.0
9.0,669.0,-1.890403389930725,1.0,4.0,1.0,9.0,1.0,2.0
10.0,670.0,-1.5773413181304932,1.0,4.0,1.0,7.0,1.0,39.0
11.0,671.0,-2.561250686645508,1.0,4.0,1.0,6.0,2.0,5.0
12.0,672.0,-2.4798648357391357,1.0,4.0,1.0,6.0,1.0,41.0
13.0,673.0,0.44066089391708374,1.0,4.0,1.0,4.0,3.0,38.0
14.0,674.0,0.616173267364502,1.0,4.0,1.0,1.0,3.0,36.0
15.0,675.0,0.5693699717521667,1.0,4.0,1.0,10.0,3.0,8.0
16.0,676.0,0.3496544659137726,1.0,4.0,1.0,4.0,4.0,35.0
17.0,677.0,0.4848639965057373,1.0,4.0,1.0,1.0,4.0,21.0
18.0,678.0,0.5147660970687866,1.0,4.0,1.0,10.0,4.0,3.0
19.0,679.0,0.31195181608200073,1.0,4.0,1.0,3.0,4.0,19.0
20.0,680.0,0.6044724583625793,1.0,4.0,1.0,4.0,2.0,16.0
21.0,681.0,0.3561549484729767,1.0,4.0,1.0,1.0,2.0,4.0
22.0,682.0,0.3457542061805725,1.0,4.0,1.0,10.0,2.0,12.0
23.0,683.0,0.5420680642127991,1.0,4.0,1.0,3.0,2.0,25.0
24.0,684.0,0.2105446755886078,1.0,4.0,1.0,4.0,1.0,46.0
25.0,685.0,0.3457542061805725,1.0,4.0,1.0,1.0,1.0,33.0
26.0,686.0,0.32430270314216614,1.0,4.0,1.0,10.0,1.0,28.0
27.0,687.0,0.19754375517368317,1.0,4.0,1.0,3.0,1.0,14.0
28.0,691.0,-0.19248372316360474,1.0,4.0,1.0,8.0,4.0,42.0
29.0,694.0,-0.19248372316360474,1.0,4.0,1.0,8.0,2.0,6.0
30.0,695.0,-0.7772649526596069,1.0,4.0,1.0,8.0,1.0,7.0
31.0,697.0,-2.416680335998535,1.0,4.0,1.0,5.0,1.0,37.0
32.0,699.0,-2.137420654296875,1.0,4.0,1.0,7.0,1.0,44.0
33.0,701.0,-2.0908775329589844,1.0,4.0,1.0,9.0,1.0,47.0
34.0,1252.0,0.5108658671379089,1.0,5.0,1.0,6.0,3.0,30.0
35.0,1253.0,0.31975236535072327,1.0,5.0,1.0,7.0,3.0,11.0
36.0,1254.0,0.55116868019104,1.0,5.0,1.0,6.0,4.0,32.0
37.0,1255.0,0.5680698752403259,1.0,5.0,1.0,7.0,4.0,34.0
38.0,1256.0,0.5732702612876892,1.0,5.0,1.0,6.0,2.0,10.0
39.0,1257.0,0.5524687767028809,1.0,5.0,1.0,7.0,2.0,49.0
40.0,1258.0,0.5979719758033752,1.0,5.0,1.0,11.0,1.0,18.0
41.0,1259.0,0.43832072615623474,1.0,5.0,1.0,4.0,3.0,29.0
42.0,1260.0,0.6369747519493103,1.0,5.0,1.0,1.0,3.0,45.0
43.0,1261.0,0.43078020215034485,1.0,5.0,1.0,4.0,4.0,27.0
44.0,1262.0,0.4352005124092102,1.0,5.0,1.0,1.0,4.0,9.0
45.0,1263.0,0.43078020215034485,1.0,5.0,1.0,4.0,2.0,24.0
46.0,1264.0,0.43949079513549805,1.0,5.0,1.0,1.0,2.0,40.0
47.0,1265.0,0.608372688293457,1.0,5.0,1.0,7.0,5.0,15.0
48.0,1266.0,0.1655615121126175,1.0,5.0,1.0,4.0,1.0,22.0
49.0,1267.0,0.40737855434417725,1.0,5.0,1.0,1.0,1.0,26.0
