target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,15.0
2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0
3.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,19.0
4.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,21.0
5.0,5.0,0.0,1.0,1.0,1.0,6.0,1.0,25.0
6.0,6.0,0.0,1.0,1.0,1.0,7.0,1.0,2.0
7.0,7.0,0.0,1.0,1.0,1.0,8.0,1.0,35.0
8.0,8.0,0.0,1.0,1.0,1.0,9.0,2.0,40.0
9.0,9.0,0.0,1.0,1.0,1.0,10.0,2.0,23.0
10.0,10.0,0.0,1.0,1.0,1.0,9.0,1.0,33.0
11.0,11.0,0.0,1.0,1.0,1.0,10.0,1.0,3.0
12.0,12.0,0.0,1.0,1.0,1.0,11.0,1.0,48.0
13.0,304.0,0.0,1.0,2.0,1.0,11.0,2.0,24.0
14.0,305.0,0.0,1.0,2.0,1.0,11.0,1.0,20.0
15.0,306.0,0.0,1.0,2.0,1.0,1.0,3.0,45.0
16.0,307.0,0.0,1.0,2.0,1.0,1.0,4.0,32.0
17.0,308.0,0.0,1.0,2.0,1.0,1.0,2.0,49.0
18.0,309.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0
19.0,310.0,0.0,1.0,2.0,1.0,2.0,3.0,41.0
20.0,311.0,0.0,1.0,2.0,1.0,2.0,4.0,31.0
21.0,312.0,0.0,1.0,2.0,1.0,2.0,2.0,44.0
22.0,313.0,0.0,1.0,2.0,1.0,2.0,1.0,39.0
23.0,314.0,0.0,1.0,2.0,1.0,3.0,3.0,29.0
24.0,315.0,0.0,1.0,2.0,1.0,3.0,4.0,30.0
25.0,316.0,0.0,1.0,2.0,1.0,3.0,2.0,47.0
26.0,317.0,0.0,1.0,2.0,1.0,3.0,1.0,46.0
27.0,318.0,0.0,1.0,2.0,1.0,4.0,3.0,16.0
28.0,319.0,0.0,1.0,2.0,1.0,4.0,4.0,37.0
29.0,320.0,0.0,1.0,2.0,1.0,4.0,2.0,36.0
30.0,321.0,0.0,1.0,2.0,1.0,4.0,1.0,42.0
31.0,322.0,0.0,1.0,2.0,1.0,5.0,3.0,13.0
32.0,323.0,0.0,1.0,2.0,1.0,6.0,3.0,14.0
33.0,324.0,0.0,1.0,2.0,1.0,5.0,4.0,28.0
34.0,325.0,0.0,1.0,2.0,1.0,6.0,4.0,27.0
35.0,326.0,0.0,1.0,2.0,1.0,5.0,2.0,6.0
36.0,327.0,0.0,1.0,2.0,1.0,6.0,2.0,34.0
37.0,328.0,0.0,1.0,2.0,1.0,5.0,1.0,18.0
38.0,329.0,0.0,1.0,2.0,1.0,6.0,1.0,22.0
39.0,330.0,0.0,1.0,2.0,1.0,7.0,3.0,26.0
40.0,331.0,0.0,1.0,2.0,1.0,8.0,3.0,38.0
41.0,332.0,0.0,1.0,2.0,1.0,10.0,2.0,7.0
42.0,333.0,0.0,1.0,2.0,1.0,10.0,1.0,8.0
43.0,334.0,0.0,1.0,2.0,1.0,7.0,4.0,17.0
44.0,335.0,0.0,1.0,2.0,1.0,8.0,4.0,10.0
45.0,336.0,0.0,1.0,2.0,1.0,7.0,2.0,9.0
46.0,337.0,0.0,1.0,2.0,1.0,8.0,2.0,43.0
47.0,338.0,0.0,1.0,2.0,1.0,7.0,1.0,11.0
48.0,339.0,0.0,1.0,2.0,1.0,8.0,1.0,5.0
49.0,340.0,0.0,1.0,2.0,1.0,9.0,3.0,12.0
