target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,295.0,-1.6895934343338013,1.0,1.0,1.0,1.0,1.0,49.0
1.0,296.0,-1.6895934343338013,1.0,1.0,1.0,2.0,1.0,0.0
2.0,297.0,-1.6895934343338013,1.0,1.0,1.0,3.0,1.0,1.0
3.0,298.0,-1.6895934343338013,1.0,1.0,1.0,4.0,1.0,2.0
4.0,331.0,1.1024714708328247,2.0,1.0,2.0,5.0,1.0,7.0
5.0,332.0,1.0500918626785278,2.0,1.0,2.0,6.0,1.0,28.0
6.0,334.0,0.5098978877067566,2.0,1.0,2.0,3.0,1.0,47.0
7.0,336.0,-1.4374877214431763,2.0,1.0,2.0,1.0,1.0,46.0
8.0,337.0,1.2584718465805054,1.0,1.0,2.0,7.0,2.0,45.0
9.0,338.0,0.910033106803894,1.0,1.0,2.0,7.0,3.0,5.0
10.0,339.0,1.1252453327178955,1.0,1.0,2.0,7.0,4.0,3.0
11.0,340.0,1.133557677268982,1.0,1.0,2.0,7.0,1.0,6.0
12.0,341.0,0.3724581301212311,1.0,1.0,2.0,8.0,5.0,41.0
13.0,342.0,0.3861224055290222,1.0,1.0,2.0,9.0,5.0,29.0
14.0,343.0,0.3724581301212311,1.0,1.0,2.0,8.0,2.0,10.0
15.0,344.0,0.3724581301212311,1.0,1.0,2.0,9.0,2.0,4.0
16.0,345.0,0.3724581301212311,1.0,1.0,2.0,8.0,3.0,12.0
17.0,346.0,0.12547653913497925,1.0,1.0,2.0,9.0,3.0,23.0
18.0,347.0,0.3821370005607605,1.0,1.0,2.0,8.0,4.0,18.0
19.0,348.0,0.12547653913497925,1.0,1.0,2.0,9.0,4.0,11.0
20.0,349.0,0.3724581301212311,1.0,1.0,2.0,8.0,1.0,14.0
21.0,350.0,0.29206669330596924,1.0,1.0,2.0,9.0,1.0,44.0
22.0,351.0,-1.0280152559280396,1.0,1.0,2.0,10.0,4.0,42.0
23.0,352.0,-1.3942174911499023,1.0,1.0,2.0,10.0,1.0,8.0
24.0,353.0,-1.287408471107483,1.0,1.0,2.0,11.0,4.0,9.0
25.0,354.0,-1.7858126163482666,1.0,1.0,2.0,11.0,1.0,21.0
26.0,355.0,0.34957048296928406,3.0,1.0,2.0,5.0,1.0,22.0
27.0,359.0,0.7203275561332703,3.0,1.0,2.0,2.0,1.0,37.0
28.0,360.0,0.7717962861061096,3.0,1.0,2.0,3.0,1.0,34.0
29.0,361.0,0.7475422024726868,3.0,1.0,2.0,4.0,1.0,40.0
30.0,362.0,-1.524483561515808,3.0,1.0,2.0,6.0,1.0,43.0
31.0,363.0,-1.1398344039916992,3.0,1.0,2.0,1.0,1.0,36.0
32.0,364.0,-1.4711929559707642,3.0,1.0,2.0,11.0,1.0,32.0
33.0,365.0,1.250501036643982,1.0,1.0,3.0,7.0,3.0,13.0
34.0,366.0,1.4668519496917725,1.0,1.0,3.0,7.0,4.0,35.0
35.0,367.0,1.458881139755249,1.0,1.0,3.0,7.0,1.0,48.0
36.0,368.0,0.8177993297576904,1.0,1.0,3.0,10.0,4.0,31.0
37.0,369.0,0.8177993297576904,1.0,1.0,3.0,10.0,1.0,16.0
38.0,370.0,-0.4393131136894226,1.0,1.0,3.0,11.0,4.0,27.0
39.0,371.0,-0.25848934054374695,1.0,1.0,3.0,11.0,1.0,20.0
40.0,372.0,-0.7614481449127197,1.0,1.0,3.0,9.0,1.0,26.0
41.0,373.0,-0.6511092185974121,1.0,1.0,3.0,8.0,4.0,30.0
42.0,374.0,-1.350036382675171,1.0,1.0,3.0,8.0,1.0,24.0
43.0,375.0,0.5308497548103333,4.0,1.0,3.0,5.0,1.0,33.0
44.0,376.0,0.3861224055290222,1.0,1.0,4.0,2.0,1.0,39.0
45.0,377.0,0.3724581301212311,1.0,1.0,4.0,1.0,4.0,19.0
46.0,378.0,0.3724581301212311,1.0,1.0,4.0,1.0,1.0,15.0
47.0,379.0,0.47562333941459656,1.0,1.0,4.0,3.0,4.0,17.0
48.0,380.0,0.4853021800518036,1.0,1.0,4.0,3.0,1.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
