target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,505.0,2.098830223083496,1.0,1.0,1.0,1.0,1.0,7.0
1.0,506.0,2.0146565437316895,1.0,1.0,1.0,1.0,2.0,3.0
2.0,507.0,1.8770971298217773,1.0,1.0,1.0,2.0,3.0,0.0
3.0,508.0,1.9347295761108398,1.0,1.0,1.0,1.0,4.0,4.0
4.0,509.0,1.983262062072754,1.0,1.0,1.0,1.0,5.0,1.0
5.0,510.0,2.104593515396118,1.0,1.0,1.0,1.0,3.0,10.0
6.0,511.0,0.7274825572967529,1.0,1.0,1.0,3.0,3.0,2.0
7.0,512.0,0.5501871705055237,1.0,1.0,1.0,1.0,3.0,5.0
8.0,513.0,0.5800650119781494,1.0,1.0,1.0,4.0,3.0,8.0
9.0,514.0,0.2473137527704239,1.0,1.0,1.0,5.0,3.0,6.0
10.0,515.0,0.7244492769241333,1.0,1.0,1.0,2.0,3.0,9.0
11.0,525.0,-0.7835477590560913,1.0,1.0,2.0,6.0,2.0,35.0
12.0,526.0,-0.7917376756668091,1.0,1.0,2.0,7.0,1.0,28.0
13.0,527.0,-0.6892126798629761,1.0,1.0,2.0,8.0,1.0,29.0
14.0,528.0,-0.7917376756668091,1.0,1.0,2.0,7.0,2.0,37.0
15.0,529.0,-0.7689880132675171,1.0,1.0,2.0,8.0,2.0,49.0
16.0,530.0,-0.6697996258735657,1.0,1.0,2.0,7.0,4.0,42.0
17.0,531.0,-0.7036207318305969,1.0,1.0,2.0,8.0,4.0,21.0
18.0,532.0,-0.6249070167541504,1.0,1.0,2.0,6.0,4.0,20.0
19.0,533.0,-0.7400201559066772,1.0,1.0,2.0,7.0,5.0,34.0
20.0,534.0,-1.3186190128326416,1.0,1.0,2.0,6.0,5.0,36.0
21.0,535.0,-0.758219838142395,1.0,1.0,2.0,7.0,3.0,22.0
22.0,536.0,-1.3004193305969238,1.0,1.0,2.0,6.0,3.0,33.0
23.0,537.0,-0.7703530192375183,1.0,1.0,2.0,8.0,5.0,23.0
24.0,538.0,-0.7993208765983582,1.0,1.0,2.0,8.0,3.0,48.0
25.0,539.0,-0.27501773834228516,1.0,1.0,2.0,2.0,1.0,47.0
26.0,540.0,-0.054952993988990784,1.0,1.0,2.0,5.0,1.0,41.0
27.0,541.0,-0.7796044945716858,1.0,1.0,2.0,2.0,2.0,38.0
28.0,542.0,-0.1973656713962555,1.0,1.0,2.0,5.0,2.0,18.0
29.0,543.0,-0.520410418510437,1.0,1.0,2.0,2.0,4.0,11.0
30.0,544.0,-0.3006489872932434,1.0,1.0,2.0,5.0,4.0,25.0
31.0,545.0,-0.21950864791870117,1.0,1.0,2.0,9.0,1.0,12.0
32.0,546.0,-0.4024156630039215,1.0,1.0,2.0,9.0,2.0,19.0
33.0,547.0,-0.26288461685180664,1.0,1.0,2.0,9.0,4.0,17.0
34.0,548.0,-0.6772311925888062,1.0,1.0,2.0,2.0,5.0,31.0
35.0,549.0,-0.8038707971572876,1.0,1.0,2.0,5.0,5.0,43.0
36.0,550.0,-0.4849209785461426,1.0,1.0,2.0,9.0,5.0,27.0
37.0,551.0,-0.6337035298347473,1.0,1.0,2.0,2.0,3.0,30.0
38.0,552.0,-0.8038707971572876,1.0,1.0,2.0,5.0,3.0,24.0
39.0,553.0,-1.3004193305969238,1.0,1.0,2.0,9.0,3.0,32.0
40.0,554.0,-0.24392658472061157,1.0,1.0,2.0,3.0,2.0,14.0
41.0,555.0,-0.0915040671825409,1.0,1.0,2.0,3.0,4.0,46.0
42.0,556.0,-0.2135937362909317,1.0,1.0,2.0,3.0,5.0,26.0
43.0,557.0,-0.07937093079090118,1.0,1.0,2.0,3.0,3.0,40.0
44.0,558.0,0.1625334620475769,1.0,1.0,2.0,10.0,1.0,45.0
45.0,559.0,-0.017188608646392822,1.0,1.0,2.0,10.0,2.0,44.0
46.0,560.0,-0.19266408681869507,1.0,1.0,2.0,10.0,4.0,16.0
47.0,561.0,-0.1809859424829483,1.0,1.0,2.0,10.0,5.0,15.0
48.0,562.0,-0.24392658472061157,1.0,1.0,2.0,10.0,3.0,39.0
49.0,563.0,1.4466742277145386,1.0,1.0,2.0,1.0,2.0,13.0
