target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,20.0
2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,48.0
3.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,9.0
4.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,49.0
5.0,5.0,0.0,1.0,1.0,1.0,6.0,1.0,30.0
6.0,6.0,0.0,1.0,1.0,1.0,7.0,1.0,31.0
7.0,7.0,0.0,1.0,1.0,1.0,8.0,1.0,10.0
8.0,8.0,0.0,1.0,1.0,1.0,9.0,2.0,1.0
9.0,9.0,0.0,1.0,1.0,1.0,1.0,2.0,22.0
10.0,10.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
11.0,11.0,0.0,1.0,1.0,1.0,3.0,2.0,21.0
12.0,12.0,0.0,1.0,1.0,1.0,4.0,2.0,19.0
13.0,13.0,0.0,1.0,1.0,1.0,5.0,2.0,5.0
14.0,14.0,0.0,1.0,1.0,1.0,6.0,2.0,35.0
15.0,15.0,0.0,1.0,1.0,1.0,7.0,2.0,23.0
16.0,16.0,0.0,1.0,1.0,1.0,8.0,2.0,36.0
17.0,17.0,0.0,1.0,1.0,1.0,10.0,2.0,32.0
18.0,18.0,0.0,1.0,1.0,1.0,9.0,3.0,34.0
19.0,19.0,0.0,1.0,1.0,1.0,1.0,3.0,18.0
20.0,20.0,0.0,1.0,1.0,1.0,2.0,3.0,44.0
21.0,21.0,0.0,1.0,1.0,1.0,3.0,3.0,12.0
22.0,22.0,0.0,1.0,1.0,1.0,4.0,3.0,25.0
23.0,23.0,0.0,1.0,1.0,1.0,5.0,3.0,46.0
24.0,24.0,0.0,1.0,1.0,1.0,6.0,3.0,11.0
25.0,25.0,0.0,1.0,1.0,1.0,7.0,3.0,47.0
26.0,26.0,0.0,1.0,1.0,1.0,8.0,3.0,3.0
27.0,27.0,0.0,1.0,1.0,1.0,10.0,3.0,41.0
28.0,28.0,0.0,1.0,1.0,1.0,9.0,4.0,4.0
29.0,29.0,0.0,1.0,1.0,1.0,1.0,4.0,29.0
30.0,30.0,0.0,1.0,1.0,1.0,2.0,4.0,16.0
31.0,31.0,0.0,1.0,1.0,1.0,3.0,4.0,42.0
32.0,32.0,0.0,1.0,1.0,1.0,4.0,4.0,39.0
33.0,33.0,0.0,1.0,1.0,1.0,5.0,4.0,24.0
34.0,34.0,0.0,1.0,1.0,1.0,6.0,4.0,6.0
35.0,35.0,0.0,1.0,1.0,1.0,7.0,4.0,33.0
36.0,36.0,0.0,1.0,1.0,1.0,8.0,4.0,43.0
37.0,37.0,0.0,1.0,1.0,1.0,10.0,4.0,13.0
38.0,38.0,0.0,1.0,1.0,1.0,9.0,5.0,15.0
39.0,39.0,0.0,1.0,1.0,1.0,1.0,5.0,8.0
40.0,40.0,0.0,1.0,1.0,1.0,2.0,5.0,45.0
41.0,41.0,0.0,1.0,1.0,1.0,3.0,5.0,40.0
42.0,42.0,0.0,1.0,1.0,1.0,4.0,5.0,14.0
43.0,43.0,0.0,1.0,1.0,1.0,5.0,5.0,37.0
44.0,44.0,0.0,1.0,1.0,1.0,6.0,5.0,7.0
45.0,45.0,0.0,1.0,1.0,1.0,7.0,5.0,38.0
46.0,46.0,0.0,1.0,1.0,1.0,8.0,5.0,17.0
47.0,47.0,0.0,1.0,1.0,1.0,10.0,5.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
