target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,93.0,0.9129411578178406,1.0,1.0,1.0,1.0,1.0,3.0
1.0,94.0,0.9329289197921753,1.0,1.0,1.0,1.0,2.0,40.0
2.0,95.0,0.9370289444923401,1.0,1.0,1.0,1.0,3.0,7.0
3.0,96.0,0.8960283994674683,1.0,1.0,1.0,1.0,4.0,41.0
4.0,97.0,0.8719406127929688,1.0,1.0,1.0,2.0,2.0,38.0
5.0,98.0,0.8944908976554871,1.0,1.0,1.0,2.0,3.0,42.0
6.0,99.0,0.9293413758277893,1.0,1.0,1.0,2.0,4.0,14.0
7.0,100.0,0.9559916853904724,1.0,1.0,1.0,2.0,5.0,43.0
8.0,101.0,-1.5927045345306396,1.0,1.0,1.0,3.0,1.0,6.0
9.0,102.0,-1.5240286588668823,1.0,1.0,1.0,4.0,1.0,44.0
10.0,103.0,0.9293413758277893,1.0,1.0,1.0,5.0,1.0,13.0
11.0,104.0,0.862715482711792,1.0,1.0,1.0,5.0,2.0,45.0
12.0,105.0,0.9379514455795288,1.0,1.0,1.0,5.0,3.0,2.0
13.0,106.0,0.9315963983535767,1.0,1.0,1.0,5.0,4.0,1.0
14.0,107.0,0.9149911403656006,1.0,1.0,1.0,5.0,5.0,37.0
15.0,108.0,0.923191249370575,1.0,1.0,1.0,6.0,2.0,46.0
16.0,109.0,0.8515428304672241,1.0,1.0,1.0,7.0,3.0,25.0
17.0,110.0,0.5603364706039429,1.0,1.0,1.0,7.0,4.0,47.0
18.0,111.0,0.5654615163803101,1.0,1.0,1.0,7.0,5.0,9.0
19.0,112.0,0.7458639144897461,1.0,1.0,1.0,6.0,3.0,48.0
20.0,113.0,0.7960895895957947,1.0,1.0,1.0,6.0,4.0,4.0
21.0,114.0,0.6382375359535217,1.0,1.0,1.0,6.0,5.0,5.0
22.0,115.0,0.15299609303474426,1.0,1.0,1.0,8.0,1.0,21.0
23.0,116.0,0.1458209902048111,1.0,1.0,1.0,8.0,2.0,49.0
24.0,117.0,-0.029866332188248634,1.0,1.0,1.0,8.0,3.0,0.0
25.0,118.0,0.07284002751111984,1.0,1.0,1.0,8.0,4.0,11.0
26.0,119.0,-0.0774269625544548,1.0,1.0,1.0,8.0,5.0,12.0
27.0,120.0,-1.1760364770889282,1.0,1.0,1.0,9.0,1.0,8.0
28.0,121.0,-0.6942801475524902,1.0,1.0,1.0,10.0,1.0,29.0
29.0,122.0,-0.7352806925773621,1.0,1.0,1.0,10.0,2.0,27.0
30.0,123.0,-0.8367570042610168,1.0,1.0,1.0,10.0,3.0,17.0
31.0,124.0,-1.1945892572402954,1.0,1.0,1.0,9.0,2.0,23.0
32.0,125.0,-1.6782931089401245,1.0,1.0,1.0,10.0,4.0,39.0
33.0,126.0,-1.2383573055267334,1.0,1.0,1.0,9.0,3.0,24.0
34.0,127.0,-1.1369835138320923,1.0,1.0,1.0,9.0,4.0,31.0
35.0,128.0,-1.450740098953247,1.0,1.0,1.0,9.0,5.0,10.0
36.0,129.0,-1.575791835784912,1.0,1.0,1.0,10.0,5.0,32.0
37.0,130.0,0.7520140409469604,1.0,1.0,1.0,1.0,5.0,33.0
38.0,131.0,-1.5383788347244263,1.0,1.0,1.0,3.0,4.0,30.0
39.0,132.0,-1.6321675777435303,1.0,1.0,1.0,4.0,3.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
