target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,523.0,1.2005854845046997,1.0,1.0,1.0,1.0,1.0,37.0
1.0,524.0,1.1081880331039429,1.0,1.0,1.0,1.0,2.0,0.0
2.0,525.0,1.1935341358184814,1.0,1.0,1.0,1.0,3.0,3.0
3.0,526.0,1.0255166292190552,1.0,1.0,1.0,1.0,4.0,1.0
4.0,527.0,1.049831748008728,1.0,1.0,1.0,2.0,1.0,7.0
5.0,528.0,-1.2284941673278809,1.0,1.0,1.0,3.0,1.0,4.0
6.0,529.0,1.1592497825622559,1.0,1.0,1.0,2.0,3.0,17.0
7.0,530.0,0.8066806793212891,1.0,1.0,1.0,2.0,5.0,2.0
8.0,531.0,1.0194379091262817,1.0,1.0,1.0,4.0,4.0,8.0
9.0,532.0,1.0942068099975586,1.0,1.0,1.0,4.0,5.0,10.0
10.0,533.0,0.928742527961731,1.0,1.0,1.0,5.0,2.0,6.0
11.0,534.0,0.3203784227371216,1.0,1.0,1.0,6.0,1.0,38.0
12.0,535.0,0.25083720684051514,1.0,1.0,1.0,6.0,2.0,20.0
13.0,536.0,0.1616007536649704,1.0,1.0,1.0,6.0,3.0,29.0
14.0,537.0,0.928742527961731,1.0,1.0,1.0,5.0,3.0,21.0
15.0,538.0,0.1219671219587326,1.0,1.0,1.0,6.0,5.0,9.0
16.0,539.0,0.9306877255439758,1.0,1.0,1.0,5.0,4.0,45.0
17.0,540.0,1.2018011808395386,1.0,1.0,1.0,5.0,5.0,5.0
18.0,541.0,0.19758711755275726,1.0,1.0,1.0,7.0,2.0,49.0
19.0,542.0,-0.05650579184293747,1.0,1.0,1.0,7.0,3.0,22.0
20.0,543.0,0.2012343853712082,1.0,1.0,1.0,8.0,2.0,30.0
21.0,544.0,-0.8297263383865356,1.0,1.0,1.0,9.0,2.0,16.0
22.0,545.0,-1.0838192701339722,1.0,1.0,1.0,9.0,3.0,47.0
23.0,546.0,-0.9842488765716553,1.0,1.0,1.0,9.0,4.0,41.0
24.0,547.0,-1.3148127794265747,1.0,1.0,1.0,9.0,5.0,35.0
25.0,548.0,0.12585754692554474,1.0,1.0,1.0,2.0,5.0,15.0
26.0,549.0,-0.1829443722963333,1.0,1.0,1.0,7.0,4.0,11.0
27.0,550.0,0.00428198603913188,1.0,1.0,1.0,7.0,5.0,36.0
28.0,551.0,0.26044169068336487,1.0,1.0,1.0,8.0,3.0,23.0
29.0,552.0,0.38846075534820557,1.0,1.0,1.0,8.0,4.0,14.0
30.0,553.0,0.40426555275917053,1.0,1.0,1.0,8.0,5.0,25.0
31.0,554.0,-1.226670503616333,1.0,1.0,1.0,10.0,1.0,44.0
32.0,555.0,-0.9853430390357971,1.0,1.0,1.0,10.0,2.0,48.0
33.0,556.0,-0.9829115271568298,1.0,1.0,1.0,10.0,3.0,46.0
34.0,557.0,-0.8754387497901917,1.0,1.0,1.0,10.0,4.0,42.0
35.0,558.0,-1.4344431161880493,1.0,1.0,1.0,11.0,1.0,12.0
36.0,559.0,-1.1298964023590088,1.0,1.0,1.0,11.0,2.0,27.0
37.0,560.0,0.8867989778518677,1.0,1.0,1.0,1.0,4.0,32.0
38.0,561.0,0.872209906578064,1.0,1.0,1.0,3.0,1.0,34.0
39.0,562.0,-1.0343379974365234,1.0,1.0,1.0,11.0,3.0,13.0
40.0,563.0,-1.1080127954483032,1.0,1.0,1.0,11.0,4.0,26.0
41.0,564.0,0.7945231199264526,1.0,1.0,1.0,1.0,5.0,18.0
42.0,565.0,-1.1232097148895264,1.0,1.0,1.0,11.0,5.0,40.0
43.0,566.0,-1.6503612995147705,1.0,1.0,1.0,10.0,5.0,31.0
44.0,567.0,-1.4475733041763306,1.0,1.0,1.0,3.0,3.0,39.0
45.0,568.0,-1.4344431161880493,1.0,1.0,1.0,3.0,4.0,19.0
46.0,569.0,-1.5892088413238525,1.0,1.0,1.0,3.0,5.0,33.0
47.0,570.0,-1.5875067710876465,1.0,1.0,1.0,7.0,5.0,24.0
48.0,738.0,1.066852331161499,1.0,1.0,2.0,6.0,2.0,28.0
49.0,739.0,1.180525541305542,1.0,1.0,2.0,2.0,2.0,43.0
