target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,15
2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1
3.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,19
4.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,21
5.0,5.0,0.0,1.0,1.0,1.0,6.0,1.0,25
6.0,6.0,0.0,1.0,1.0,1.0,7.0,1.0,2
7.0,7.0,0.0,1.0,1.0,1.0,8.0,1.0,35
8.0,8.0,0.0,1.0,1.0,1.0,9.0,2.0,40
9.0,9.0,0.0,1.0,1.0,1.0,10.0,2.0,23
10.0,10.0,0.0,1.0,1.0,1.0,9.0,1.0,33
11.0,11.0,0.0,1.0,1.0,1.0,10.0,1.0,3
12.0,12.0,0.0,1.0,1.0,1.0,11.0,1.0,48
13.0,304.0,0.0,1.0,2.0,1.0,11.0,2.0,24
14.0,305.0,0.0,1.0,2.0,1.0,11.0,1.0,20
15.0,306.0,0.0,1.0,2.0,1.0,1.0,3.0,45
16.0,307.0,0.0,1.0,2.0,1.0,1.0,4.0,32
17.0,308.0,0.0,1.0,2.0,1.0,1.0,2.0,49
18.0,309.0,0.0,1.0,2.0,1.0,1.0,1.0,4
19.0,310.0,0.0,1.0,2.0,1.0,2.0,3.0,41
20.0,311.0,0.0,1.0,2.0,1.0,2.0,4.0,31
21.0,312.0,0.0,1.0,2.0,1.0,2.0,2.0,44
22.0,313.0,0.0,1.0,2.0,1.0,2.0,1.0,39
23.0,314.0,0.0,1.0,2.0,1.0,3.0,3.0,29
24.0,315.0,0.0,1.0,2.0,1.0,3.0,4.0,30
25.0,316.0,0.0,1.0,2.0,1.0,3.0,2.0,47
26.0,317.0,0.0,1.0,2.0,1.0,3.0,1.0,46
27.0,318.0,0.0,1.0,2.0,1.0,4.0,3.0,16
28.0,319.0,0.0,1.0,2.0,1.0,4.0,4.0,37
29.0,320.0,0.0,1.0,2.0,1.0,4.0,2.0,36
30.0,321.0,0.0,1.0,2.0,1.0,4.0,1.0,42
31.0,322.0,0.0,1.0,2.0,1.0,5.0,3.0,13
32.0,323.0,0.0,1.0,2.0,1.0,6.0,3.0,14
33.0,324.0,0.0,1.0,2.0,1.0,5.0,4.0,28
34.0,325.0,0.0,1.0,2.0,1.0,6.0,4.0,27
35.0,326.0,0.0,1.0,2.0,1.0,5.0,2.0,6
36.0,327.0,0.0,1.0,2.0,1.0,6.0,2.0,34
37.0,328.0,0.0,1.0,2.0,1.0,5.0,1.0,18
38.0,329.0,0.0,1.0,2.0,1.0,6.0,1.0,22
39.0,330.0,0.0,1.0,2.0,1.0,7.0,3.0,26
40.0,331.0,0.0,1.0,2.0,1.0,8.0,3.0,38
41.0,332.0,0.0,1.0,2.0,1.0,10.0,2.0,7
42.0,333.0,0.0,1.0,2.0,1.0,10.0,1.0,8
43.0,334.0,0.0,1.0,2.0,1.0,7.0,4.0,17
44.0,335.0,0.0,1.0,2.0,1.0,8.0,4.0,10
